,age,portion,item,risk,why,term,bearing,types,profit_exp,conf,res_1,res_2,tf1,tf2,tf3,tf4,stock_type,risk_level
80,>65,41-60%,20-40k,over 30%,1. Stock as a part of portfolio,Quite Long (1~3 year),10,"['Fund', 'ETF']",40-80%,4,"4. Volatility is inevitable, so only sell the weak assets","4. Volatility is inevitable, so only sell the least increased assets",Short term,True,True,Don't know,"['Cloud Computing', 'Traveling', 'Real Estate', 'Social Media', 'Telecommunication', 'BlockChain', 'Franchise', 'Retail', 'Energy & Resources', 'Semiconductors', 'Airline']",high
81,31-45,41-60%,40-80k,10-20%,2. Only source of profit,Regular (6month~1 year),8,"['ETF', 'Individual Stocks', 'Fund', 'Leverage']",20-40%,3,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Don't know,False,Don't know,True,"['Entertainment', 'Retail', 'Semiconductors', 'BlockChain', 'Energy & Resources', 'Traveling', 'Cloud Computing', 'Telecommunication']",medium
82,23-30,21-40%,0-10k,5-10%,1. Stock as a part of portfolio,Regular (6month~1 year),1,"['Individual Stocks', 'Leverage', 'Fund', 'ETF']",20-40%,5,"4. Volatility is inevitable, so only sell the weak assets","4. Volatility is inevitable, so only sell the least increased assets",Long term,Don't know,Don't know,True,"['Entertainment', 'Telecommunication', 'Cloud Computing', 'BlockChain', 'Energy & Resources', 'Franchise', 'Retail', 'Luxury goods', 'Real Estate', 'Airline', 'Traveling', 'Social Media']",medium
83,18-22,81-100%,20-40k,0-5%,3. As a part of experience :),Quite Long (1~3 year),3,"['ETF', 'Fund', 'Individual Stocks', 'Leverage']",40-80%,3,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Short term,True,Don't know,Don't know,"['Airline', 'Retail', 'Real Estate', 'Franchise', 'Entertainment', 'Semiconductors', 'Energy & Resources', 'Telecommunication']",medium
84,46-65,41-60%,>80k,20-30%,1. Stock as a part of portfolio,Short Term (within 3 months),3,"['Individual Stocks', 'Leverage']",40-80%,7,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Long term,Don't know,False,Don't know,"['Luxury goods', 'BlockChain', 'Traveling', 'Cloud Computing', 'Semiconductors', 'Entertainment', 'Telecommunication', 'Retail']",medium
85,23-30,61-80%,40-80k,5-10%,1. Stock as a part of portfolio,Quite Long (1~3 year),6,"['Fund', 'Leverage']",40-80%,3,5. Remain calm and keep the portfolio as is,"4. Volatility is inevitable, so only sell the least increased assets",Short term,False,False,False,"['Franchise', 'BlockChain']",medium
86,>65,21-40%,20-40k,5-10%,1. Stock as a part of portfolio,Short Term (within 3 months),5,['Individual Stocks'],>80%,3,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Don't know,False,False,False,"['Airline', 'Energy & Resources', 'Social Media', 'Traveling', 'BlockChain']",medium
87,31-45,0-20%,10-20k,over 30%,2. Only source of profit,Quite Long (1~3 year),10,"['Fund', 'ETF', 'Leverage', 'Individual Stocks']",10-20%,5,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Long term,True,True,True,['Semiconductors'],medium
88,23-30,81-100%,>80k,20-30%,1. Stock as a part of portfolio,Long (More than 3 years),2,"['Individual Stocks', 'Leverage', 'Fund', 'ETF']",0-10%,2,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,Don't know,Don't know,False,"['Real Estate', 'Entertainment', 'BlockChain', 'Franchise', 'Energy & Resources', 'Telecommunication', 'Semiconductors']",medium
89,46-65,61-80%,>80k,10-20%,3. As a part of experience :),Regular (6month~1 year),7,"['Fund', 'Leverage']",>80%,1,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Short term,True,True,Don't know,"['Cloud Computing', 'Franchise']",medium
90,>65,61-80%,>80k,10-20%,1. Stock as a part of portfolio,Very short (1 month),6,"['Leverage', 'Individual Stocks']",0-10%,4,1. Sell everything and give up,1. Sell everything and gain profit,Don't know,Don't know,Don't know,Don't know,"['Airline', 'Traveling', 'Social Media', 'Telecommunication', 'Franchise', 'Semiconductors', 'Real Estate', 'Luxury goods', 'Cloud Computing', 'Energy & Resources', 'BlockChain', 'Retail', 'Entertainment']",medium
91,18-22,41-60%,>80k,5-10%,3. As a part of experience :),Regular (6month~1 year),4,"['Individual Stocks', 'Leverage']",40-80%,10,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Don't know,True,True,Don't know,"['Social Media', 'Cloud Computing', 'Airline', 'Energy & Resources', 'Telecommunication', 'Semiconductors', 'Real Estate', 'Luxury goods']",medium
92,18-22,21-40%,10-20k,10-20%,1. Stock as a part of portfolio,Regular (6month~1 year),9,['Individual Stocks'],0-10%,8,1. Sell everything and give up,5. Keep the portfolio as is,Don't know,Don't know,False,False,"['Telecommunication', 'Retail', 'Semiconductors', 'Airline', 'Cloud Computing', 'BlockChain']",medium
93,>65,81-100%,>80k,5-10%,2. Only source of profit,Quite Long (1~3 year),3,"['Leverage', 'ETF']",>80%,7,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,Don't know,Don't know,True,"['Telecommunication', 'Cloud Computing', 'Semiconductors', 'Luxury goods']",medium
94,18-22,61-80%,40-80k,20-30%,3. As a part of experience :),Long (More than 3 years),10,"['ETF', 'Individual Stocks']",0-10%,5,5. Remain calm and keep the portfolio as is,"4. Volatility is inevitable, so only sell the least increased assets",Don't know,True,Don't know,True,"['Traveling', 'Retail', 'Cloud Computing', 'Social Media', 'Real Estate', 'Semiconductors', 'Entertainment', 'Energy & Resources']",medium
95,>65,0-20%,10-20k,20-30%,3. As a part of experience :),Short Term (within 3 months),5,"['Leverage', 'Fund', 'Individual Stocks']",40-80%,8,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Long term,True,Don't know,Don't know,"['Social Media', 'Semiconductors', 'Luxury goods', 'Airline', 'Entertainment', 'Real Estate', 'Franchise', 'Traveling', 'BlockChain', 'Energy & Resources']",high
96,>65,21-40%,20-40k,20-30%,2. Only source of profit,Long (More than 3 years),6,['Leverage'],40-80%,9,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Long term,True,Don't know,False,"['Retail', 'Social Media', 'Entertainment']",medium
97,18-22,81-100%,20-40k,over 30%,3. As a part of experience :),Very short (1 month),7,['Leverage'],0-10%,8,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Short term,True,Don't know,True,"['Social Media', 'Traveling', 'Energy & Resources', 'Luxury goods', 'Telecommunication']",medium
98,18-22,81-100%,40-80k,20-30%,1. Stock as a part of portfolio,Regular (6month~1 year),10,"['Leverage', 'ETF', 'Individual Stocks']",40-80%,6,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Long term,True,Don't know,False,"['Luxury goods', 'Retail', 'Semiconductors', 'Social Media', 'BlockChain', 'Airline', 'Entertainment', 'Real Estate', 'Telecommunication', 'Traveling', 'Cloud Computing', 'Franchise']",medium
99,31-45,21-40%,>80k,0-5%,2. Only source of profit,Very short (1 month),2,"['Fund', 'Leverage']",>80%,10,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Short term,Don't know,True,Don't know,"['Semiconductors', 'Franchise', 'Luxury goods', 'Social Media', 'Traveling', 'Airline', 'Real Estate', 'Retail', 'Entertainment', 'Telecommunication', 'Energy & Resources', 'BlockChain', 'Cloud Computing']",medium
100,>65,21-40%,0-10k,0-5%,2. Only source of profit,Short Term (within 3 months),4,['Fund'],10-20%,1,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Long term,Don't know,Don't know,Don't know,"['Semiconductors', 'Entertainment', 'Luxury goods', 'Airline', 'Cloud Computing', 'Real Estate']",low
101,46-65,61-80%,40-80k,20-30%,3. As a part of experience :),Short Term (within 3 months),5,"['Leverage', 'Fund', 'Individual Stocks', 'ETF']",40-80%,4,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Short term,Don't know,False,True,"['Energy & Resources', 'Luxury goods']",medium
102,23-30,0-20%,20-40k,5-10%,2. Only source of profit,Quite Long (1~3 year),3,['Leverage'],40-80%,3,1. Sell everything and give up,5. Keep the portfolio as is,Short term,Don't know,True,True,['Social Media'],medium
103,46-65,0-20%,0-10k,10-20%,3. As a part of experience :),Regular (6month~1 year),10,"['ETF', 'Individual Stocks', 'Fund', 'Leverage']",>80%,6,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Long term,False,True,True,"['BlockChain', 'Real Estate', 'Traveling', 'Airline', 'Energy & Resources', 'Social Media']",medium
104,23-30,61-80%,20-40k,over 30%,3. As a part of experience :),Long (More than 3 years),2,"['Leverage', 'ETF']",0-10%,9,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Long term,False,True,False,"['Energy & Resources', 'BlockChain', 'Traveling', 'Social Media', 'Telecommunication', 'Retail', 'Semiconductors', 'Airline', 'Real Estate']",medium
105,>65,81-100%,0-10k,5-10%,1. Stock as a part of portfolio,Quite Long (1~3 year),7,"['Fund', 'Leverage', 'Individual Stocks']",40-80%,7,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Don't know,True,True,Don't know,"['Entertainment', 'Energy & Resources', 'Real Estate', 'Telecommunication', 'Airline', 'Traveling']",high
106,31-45,41-60%,0-10k,0-5%,2. Only source of profit,Regular (6month~1 year),6,['ETF'],20-40%,7,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,Don't know,True,"['Airline', 'Entertainment', 'BlockChain', 'Traveling', 'Semiconductors', 'Telecommunication', 'Franchise', 'Real Estate', 'Social Media', 'Energy & Resources', 'Cloud Computing', 'Retail']",medium
107,31-45,21-40%,0-10k,20-30%,2. Only source of profit,Very short (1 month),1,"['Fund', 'Leverage']",0-10%,4,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Short term,False,False,Don't know,['Retail'],medium
108,18-22,21-40%,40-80k,0-5%,2. Only source of profit,Long (More than 3 years),2,['Leverage'],0-10%,10,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Short term,False,True,Don't know,"['Energy & Resources', 'Telecommunication', 'Franchise', 'Traveling', 'Real Estate', 'Luxury goods', 'Semiconductors', 'Social Media']",low
109,>65,81-100%,0-10k,0-5%,2. Only source of profit,Long (More than 3 years),3,['ETF'],>80%,8,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Don't know,False,False,False,"['Telecommunication', 'BlockChain', 'Real Estate', 'Semiconductors', 'Traveling', 'Franchise', 'Energy & Resources', 'Entertainment', 'Retail', 'Luxury goods', 'Social Media', 'Cloud Computing']",medium
110,31-45,81-100%,20-40k,0-5%,2. Only source of profit,Short Term (within 3 months),7,"['Individual Stocks', 'Fund', 'ETF', 'Leverage']",20-40%,5,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Short term,Don't know,False,Don't know,"['Real Estate', 'Cloud Computing', 'Traveling', 'Airline']",high
111,31-45,61-80%,20-40k,20-30%,2. Only source of profit,Short Term (within 3 months),7,"['Leverage', 'Fund', 'Individual Stocks', 'ETF']",>80%,2,2. Sell majority of stock and take some time before re-enter,"3. Take out 50%, and wait for further growth",Don't know,Don't know,True,False,"['Social Media', 'Airline']",high
112,>65,41-60%,20-40k,5-10%,3. As a part of experience :),Short Term (within 3 months),6,"['Leverage', 'Fund', 'Individual Stocks', 'ETF']",10-20%,3,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Long term,False,Don't know,True,"['Retail', 'Airline', 'Entertainment', 'BlockChain', 'Franchise', 'Social Media', 'Energy & Resources']",medium
113,>65,61-80%,10-20k,10-20%,1. Stock as a part of portfolio,Short Term (within 3 months),3,"['Leverage', 'Fund', 'Individual Stocks']",>80%,9,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Don't know,False,False,True,"['Franchise', 'Telecommunication', 'Traveling', 'Entertainment']",medium
114,31-45,21-40%,20-40k,5-10%,3. As a part of experience :),Short Term (within 3 months),4,['ETF'],>80%,8,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Don't know,True,False,False,"['Luxury goods', 'Telecommunication', 'Social Media', 'Cloud Computing']",medium
115,31-45,61-80%,10-20k,over 30%,2. Only source of profit,Very short (1 month),8,"['Individual Stocks', 'Leverage', 'ETF', 'Fund']",40-80%,1,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,False,False,"['Real Estate', 'Traveling', 'Cloud Computing', 'Energy & Resources', 'BlockChain', 'Entertainment', 'Franchise', 'Airline', 'Luxury goods', 'Social Media']",high
116,>65,21-40%,20-40k,over 30%,2. Only source of profit,Short Term (within 3 months),3,"['Fund', 'Leverage', 'Individual Stocks', 'ETF']",10-20%,6,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Short term,Don't know,True,True,"['Retail', 'Energy & Resources', 'Social Media', 'Franchise', 'Traveling', 'Telecommunication', 'Cloud Computing', 'Luxury goods', 'Real Estate', 'Airline']",high
117,23-30,41-60%,0-10k,5-10%,3. As a part of experience :),Quite Long (1~3 year),1,"['ETF', 'Individual Stocks', 'Leverage']",40-80%,6,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Long term,True,False,True,"['BlockChain', 'Real Estate', 'Social Media', 'Telecommunication', 'Semiconductors', 'Retail', 'Cloud Computing', 'Energy & Resources']",medium
118,31-45,61-80%,>80k,0-5%,3. As a part of experience :),Regular (6month~1 year),6,['Fund'],40-80%,7,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Long term,False,True,False,"['Traveling', 'Telecommunication', 'Airline', 'Energy & Resources', 'Social Media', 'BlockChain', 'Cloud Computing', 'Retail', 'Entertainment']",low
119,23-30,0-20%,10-20k,20-30%,3. As a part of experience :),Long (More than 3 years),5,"['ETF', 'Leverage', 'Fund']",20-40%,8,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Long term,True,True,False,"['Retail', 'Energy & Resources', 'Semiconductors', 'Cloud Computing', 'Real Estate']",medium
120,31-45,61-80%,40-80k,5-10%,3. As a part of experience :),Regular (6month~1 year),3,"['Leverage', 'Fund']",20-40%,4,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Short term,False,True,Don't know,"['Luxury goods', 'Cloud Computing', 'Airline', 'Energy & Resources', 'Retail', 'Telecommunication', 'Franchise']",medium
121,>65,61-80%,20-40k,5-10%,3. As a part of experience :),Long (More than 3 years),8,['ETF'],20-40%,1,"4. Volatility is inevitable, so only sell the weak assets","4. Volatility is inevitable, so only sell the least increased assets",Don't know,True,Don't know,False,"['Entertainment', 'Semiconductors', 'Cloud Computing', 'Energy & Resources', 'Luxury goods', 'Telecommunication', 'BlockChain']",medium
122,31-45,81-100%,40-80k,over 30%,3. As a part of experience :),Short Term (within 3 months),8,['Leverage'],10-20%,4,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,False,True,"['Traveling', 'Energy & Resources', 'Franchise', 'Social Media', 'Cloud Computing']",medium
